iso3c,country_name,year,spar_all,spar_cap1,spar_cap2,spar_cap3,spar_cap4,spar_cap5,spar_cap6,spar_cap7,spar_cap8,spar_cap9,spar_cap10,spar_cap11,spar_cap12,spar_cap13,spar_cap14,spar_cap15,spar_inst_core
ARG,Argentina,2010,,,,,,,,,,,,,,,,,
ARG,Argentina,2011,67.0,100.0,73.0,80.0,93.0,52.0,57.0,100.0,90.0,,100.0,67.0,50.0,8.0,,,88.6
ARG,Argentina,2012,71.0,50.0,73.0,80.0,83.0,100.0,86.0,100.0,73.0,,67.0,60.0,69.0,86.0,,,68.6
ARG,Argentina,2013,75.0,50.0,73.0,80.0,83.0,100.0,86.0,100.0,90.0,27.0,100.0,60.0,69.0,62.0,,,78.6
ARG,Argentina,2014,80.0,50.0,73.0,80.0,83.0,100.0,86.0,100.0,90.0,86.0,100.0,60.0,69.0,62.0,,,78.6
ARG,Argentina,2015,84.0,67.0,73.0,80.0,100.0,100.0,86.0,100.0,90.0,83.0,100.0,80.0,69.0,62.0,,,82.0
ARG,Argentina,2016,76.0,50.0,67.0,80.0,78.0,82.0,86.0,40.0,86.0,89.0,89.0,93.0,69.0,77.0,,,74.4
ARG,Argentina,2017,70.0,50.0,57.0,70.0,49.0,55.0,57.0,40.0,96.0,97.0,78.0,93.0,85.0,85.0,,,70.2
ARG,Argentina,2018,64.0,80.0,80.0,60.0,80.0,67.0,80.0,60.0,40.0,60.0,40.0,70.0,60.0,60.0,,,60.0
ARG,Argentina,2019,61.0,67.0,70.0,80.0,80.0,67.0,80.0,60.0,27.0,53.0,40.0,50.0,60.0,60.0,,,56.8
ARG,Argentina,2020,64.0,67.0,80.0,80.0,80.0,67.0,80.0,60.0,40.0,53.0,40.0,70.0,60.0,60.0,,,61.4
ARG,Argentina,2021,65.0,50.0,40.0,80.0,72.0,70.0,50.0,60.0,67.0,67.0,60.0,80.0,80.0,80.0,60.0,60.0,59.4
ARG,Argentina,2022,67.0,70.0,53.0,80.0,72.0,80.0,50.0,47.0,67.0,60.0,67.0,73.0,80.0,80.0,60.0,60.0,67.4
ARG,Argentina,2023,64.0,70.0,53.0,80.0,72.0,80.0,40.0,40.0,67.0,53.0,60.0,67.0,80.0,80.0,60.0,60.0,66.0
ARG,Argentina,2024,59.0,70.0,53.0,30.0,76.0,80.0,40.0,27.0,67.0,53.0,60.0,73.0,60.0,80.0,60.0,60.0,56.0
ARG,Argentina,2025,65.0,70.0,60.0,40.0,76.0,80.0,40.0,67.0,67.0,53.0,60.0,80.0,80.0,80.0,60.0,60.0,70.0
ATG,Antigua and Barbuda,2010,66.0,50.0,91.0,60.0,73.0,85.0,90.0,50.0,53.0,88.0,76.0,73.0,50.0,13.0,,,66.0
ATG,Antigua and Barbuda,2011,53.0,50.0,53.0,80.0,57.0,52.0,57.0,25.0,40.0,75.0,78.0,75.0,33.0,8.0,,,60.2
ATG,Antigua and Barbuda,2012,72.0,100.0,66.0,95.0,70.0,60.0,43.0,100.0,66.0,77.0,89.0,80.0,62.0,29.0,,,83.2
ATG,Antigua and Barbuda,2013,73.0,100.0,66.0,95.0,65.0,50.0,57.0,100.0,45.0,86.0,100.0,80.0,85.0,23.0,,,81.2
ATG,Antigua and Barbuda,2014,85.0,100.0,100.0,100.0,82.0,73.0,71.0,100.0,81.0,86.0,100.0,100.0,85.0,23.0,,,96.2
ATG,Antigua and Barbuda,2015,87.0,100.0,100.0,100.0,82.0,73.0,86.0,100.0,100.0,80.0,100.0,100.0,85.0,23.0,,,100.0
ATG,Antigua and Barbuda,2016,81.0,100.0,73.0,85.0,83.0,73.0,86.0,100.0,68.0,100.0,89.0,100.0,69.0,23.0,,,83.0
ATG,Antigua and Barbuda,2017,71.0,75.0,40.0,90.0,77.0,55.0,71.0,80.0,88.0,86.0,89.0,100.0,46.0,23.0,,,76.4
ATG,Antigua and Barbuda,2018,42.0,27.0,30.0,20.0,80.0,47.0,60.0,60.0,60.0,40.0,40.0,20.0,20.0,40.0,,,35.4
ATG,Antigua and Barbuda,2019,,,,,,,,,,,,,,,,,
ATG,Antigua and Barbuda,2020,,,,,,,,,,,,,,,,,
ATG,Antigua and Barbuda,2021,52.0,40.0,40.0,40.0,64.0,80.0,50.0,60.0,60.0,40.0,33.0,73.0,60.0,80.0,20.0,40.0,42.6
ATG,Antigua and Barbuda,2022,54.0,30.0,47.0,50.0,68.0,90.0,50.0,60.0,67.0,47.0,33.0,73.0,60.0,80.0,20.0,40.0,45.4
ATG,Antigua and Barbuda,2023,56.0,30.0,47.0,60.0,60.0,80.0,60.0,60.0,67.0,33.0,73.0,73.0,60.0,80.0,20.0,40.0,55.4
ATG,Antigua and Barbuda,2024,57.0,20.0,47.0,50.0,72.0,70.0,60.0,60.0,67.0,53.0,73.0,60.0,80.0,80.0,20.0,40.0,51.4
BHS,Bahamas,2010,59.0,50.0,100.0,100.0,95.0,73.0,90.0,,88.0,78.0,15.0,53.0,21.0,6.0,,,70.6
BHS,Bahamas,2011,57.0,75.0,90.0,90.0,71.0,75.0,86.0,25.0,70.0,80.0,,42.0,8.0,25.0,,,81.25
BHS,Bahamas,2012,,,,,,,,,,,,,,,,,
BHS,Bahamas,2013,,,,,,,,,,,,,,,,,
BHS,Bahamas,2014,61.0,75.0,83.0,100.0,70.0,41.0,86.0,40.0,96.0,74.0,44.0,47.0,38.0,,,,79.6
BHS,Bahamas,2015,58.0,67.0,83.0,100.0,70.0,,71.0,40.0,96.0,75.0,67.0,27.0,54.0,8.0,,,82.6
BHS,Bahamas,2016,75.0,75.0,83.0,100.0,76.0,62.0,100.0,40.0,96.0,78.0,56.0,87.0,69.0,54.0,,,82.0
BHS,Bahamas,2017,,,,,,,,,,,,,,,,,
BHS,Bahamas,2018,50.0,60.0,80.0,0.0,80.0,73.0,40.0,60.0,73.0,40.0,60.0,40.0,20.0,20.0,,,54.6
BHS,Bahamas,2019,62.0,67.0,80.0,80.0,80.0,80.0,80.0,60.0,73.0,40.0,60.0,40.0,40.0,20.0,,,72.0
BHS,Bahamas,2020,65.0,60.0,80.0,80.0,80.0,87.0,60.0,80.0,73.0,40.0,80.0,60.0,40.0,20.0,,,74.6
BHS,Bahamas,2021,55.0,30.0,80.0,50.0,64.0,70.0,50.0,80.0,47.0,53.0,47.0,93.0,60.0,60.0,20.0,20.0,50.8
BHS,Bahamas,2022,56.0,20.0,80.0,50.0,84.0,90.0,50.0,73.0,73.0,20.0,60.0,80.0,20.0,80.0,40.0,20.0,56.6
BHS,Bahamas,2023,60.0,30.0,80.0,50.0,84.0,90.0,50.0,80.0,73.0,33.0,67.0,80.0,20.0,80.0,40.0,40.0,60.0
BHS,Bahamas,2024,60.0,40.0,73.0,50.0,76.0,80.0,60.0,67.0,73.0,33.0,80.0,73.0,40.0,80.0,40.0,40.0,63.2
BLZ,Belize,2010,32.0,25.0,40.0,60.0,68.0,7.0,20.0,,56.0,15.0,76.0,46.0,,,,,51.4
