mapping_id,obligation_id,domestic_norm,domestic_article,source_type,formal_source_level,correspondence_status,substantive_anchor_status,correspondence_role,mapping_coverage,actor_fit,procedure_fit,coordination_fit,enforcement_fit,rights_safeguard_fit,vertical_mandate_specification,gap_type,review_priority,review_status,official_source_url,official_publication_date,version_or_last_reform_date,verification_date,verified_by,verification_outcome,verification_note
MEX_MAP_IHR2005_001_001,IHR-OBL-001,Reglamento Interior de la Secretaría de Salud,"Art. 35, frac. XIX",regulation,1,identified,identified,substantive,complete_component,strong,partial,partial,weak,not directly implicated,partial,procedural gap,high,preliminary_ai_assisted,https://www.diputados.gob.mx/LeyesBiblio/regla.htm,2004-01-19,2025-01-31,2026-07-15,automated existence check against author-curated consolidated text (Cámara de Diputados / DOF); substantive correspondence pending expert review,confirmed,article located in consolidated text at stated reform date
MEX_MAP_IHR2005_001_002,IHR-OBL-001,"NOM-017-SSA2-2012, Para la vigilancia epidemiológica",Numeral 6.6.1–6.6.2,NOM,1,identified,identified,substantive,partial_component,strong,partial,partial,weak,not directly implicated,partial,procedural gap,high,preliminary_ai_assisted,https://www.dof.gob.mx/nota_detalle.php?codigo=5288225,2013-02-19,2013-02-19,2026-07-15,automated existence check against author-curated consolidated text (Cámara de Diputados / DOF); substantive correspondence pending expert review,confirmed,article located in consolidated text at stated reform date
MEX_MAP_IHR2005_001_003,IHR-OBL-001,Reglamento Interior de la Secretaría de Salud,Art. 2,regulation,1,identified,identified,substantive,partial_component,strong,weak,weak,none identified,not directly implicated,not directly implicated,procedural gap,medium,preliminary_ai_assisted,https://www.diputados.gob.mx/LeyesBiblio/regla.htm,2004-01-19,2025-01-31,2026-07-15,automated existence check against author-curated consolidated text (Cámara de Diputados / DOF); substantive correspondence pending expert review,confirmed,article located in consolidated text at stated reform date
MEX_MAP_IHR2005_002_001,IHR-OBL-002,Ley General de Salud,"Art. 134, fracciones I-XIV",statute,2,identified,identified,substantive,partial_component,strong,partial,partial,weak,not directly implicated,partial,regulatory gap,high,preliminary_ai_assisted,https://www.diputados.gob.mx/LeyesBiblio/ref/lgs.htm,1984-02-07,2026-01-15,2026-07-15,automated existence check against author-curated consolidated text (Cámara de Diputados / DOF); substantive correspondence pending expert review,confirmed,article located in consolidated text at stated reform date
MEX_MAP_IHR2005_002_002,IHR-OBL-002,"NOM-017-SSA2-2012, Para la vigilancia epidemiológica",Numeral 4.2–4.3,NOM,1,identified,identified,substantive,partial_component,strong,partial,partial,partial,not directly implicated,partial,regulatory gap,high,preliminary_ai_assisted,https://www.dof.gob.mx/nota_detalle.php?codigo=5288225,2013-02-19,2013-02-19,2026-07-15,automated existence check against author-curated consolidated text (Cámara de Diputados / DOF); substantive correspondence pending expert review,confirmed,article located in consolidated text at stated reform date
MEX_MAP_IHR2005_002_003,IHR-OBL-002,Reglamento Interior de la Secretaría de Salud,"Art. 35, frac. X",regulation,1,identified,identified,substantive,partial_component,strong,partial,partial,weak,not directly implicated,partial,regulatory gap,medium,preliminary_ai_assisted,https://www.diputados.gob.mx/LeyesBiblio/regla.htm,2004-01-19,2025-01-31,2026-07-15,automated existence check against author-curated consolidated text (Cámara de Diputados / DOF); substantive correspondence pending expert review,confirmed,article located in consolidated text at stated reform date
MEX_MAP_IHR2005_003_001,IHR-OBL-003,Reglamento Interior de la Secretaría de Salud,"Art. 35, frac. XIX",regulation,1,identified,identified,substantive,partial_component,strong,weak,weak,none identified,not directly implicated,not directly implicated,procedural gap,medium,preliminary_ai_assisted,https://www.diputados.gob.mx/LeyesBiblio/regla.htm,2004-01-19,2025-01-31,2026-07-15,automated existence check against author-curated consolidated text (Cámara de Diputados / DOF); substantive correspondence pending expert review,confirmed,article located in consolidated text at stated reform date
MEX_MAP_IHR2005_003_002,IHR-OBL-003,Ley General de Salud,"Art. 136, fracciones I-IV",statute,2,identified,not_identified,contextual_or_enabling,contextual_only,partial,weak,weak,none identified,not directly implicated,not directly implicated,full gap,low,requires_human_review,https://www.diputados.gob.mx/LeyesBiblio/ref/lgs.htm,1984-02-07,2026-01-15,2026-07-15,automated existence check against author-curated consolidated text (Cámara de Diputados / DOF); substantive correspondence pending expert review,confirmed,article located in consolidated text at stated reform date
MEX_MAP_IHR2005_004_001,IHR-OBL-004,Ley General de Salud,"Art. 136, fracciones I-IV",statute,2,identified,identified,substantive,complete_component,strong,partial,partial,partial,not directly implicated,partial,procedural gap,high,preliminary_ai_assisted,https://www.diputados.gob.mx/LeyesBiblio/ref/lgs.htm,1984-02-07,2026-01-15,2026-07-15,automated existence check against author-curated consolidated text (Cámara de Diputados / DOF); substantive correspondence pending expert review,confirmed,article located in consolidated text at stated reform date
MEX_MAP_IHR2005_004_002,IHR-OBL-004,Reglamento de la Ley General de Salud en Materia de Sanidad Internacional,Artículo 14,regulation,1,identified,identified,substantive,complete_component,strong,partial,partial,partial,not directly implicated,not directly implicated,procedural gap,high,preliminary_ai_assisted,https://www.diputados.gob.mx/LeyesBiblio/regley/Reg_LGS_MSI.pdf,1985-02-18,1985-02-18,2026-07-15,automated existence check against author-curated consolidated text (Cámara de Diputados / DOF); substantive correspondence pending expert review,confirmed,article located in consolidated text at stated reform date
