obligation_id,article,article_title,obligation_text_short,obligation_type,legal_force,requires_domestic_legal_anchoring,implementation_domain
IHR-OBL-001,Art. 4,Responsible authorities,Each State Party shall designate or establish a National IHR Focal Point (NFP) accessible at all times and notify WHO of its designation and contact details.,Institutional designation,Binding,Yes,CC2 – Coordination and NFP communications; CC1 – National legislation
IHR-OBL-002,Art. 5(1),Surveillance,"Each State Party shall develop, strengthen and maintain, as soon as possible but no later than five years from entry into force, the capacity to detect, assess, notify and report events as specified in Annex 1.",Capacity development (core capacity),Binding,Yes,CC1 – National legislation; CC3 – Surveillance; CC5 – Preparedness
IHR-OBL-003,Art. 5(2),Surveillance,A State Party may obtain an extension of up to two plus two years by reporting to WHO with a justified need and an implementation plan; after the extension period the State Party shall report annually on progress made towards full implementation.,Procedural (extension mechanism and annual reporting),Binding,Partial/Context-dependent,"CC1 – National legislation, policy and financing; CC5 – Preparedness"
IHR-OBL-004,Art. 6(1),Notification,"Each State Party shall assess events using the Annex 2 decision instrument and notify WHO through the NFP within 24 hours of assessment of any event that may constitute a PHEIC, and of any health measures implemented in response.",Notification (time-bound),Binding,Yes,CC2 – NFP; CC3 – Surveillance
IHR-OBL-005,Art. 6(2),Notification,"Following notification, the State Party shall continue communicating to WHO timely, accurate and sufficiently detailed public health information on the notified event, including case definitions, laboratory results, conditions affecting spread, and health measures employed; and shall report difficulties faced and support needed.",Ongoing reporting,Binding,Partial/Context-dependent,CC2 – NFP; CC3 – Surveillance; CC6 – Risk communication
IHR-OBL-006,Art. 7,Information-sharing during unexpected or unusual public health events,"If a State Party has evidence of an unexpected or unusual public health event within its territory, irrespective of origin or source, which may constitute a PHEIC, it shall provide WHO with all relevant public health information; Art. 6 provisions apply in full.",Reporting (triggered; source-neutral),Binding,Yes,CC2 – NFP; CC3 – Surveillance (event-based)
IHR-OBL-007,Art. 8,Consultation,"In the case of events not requiring notification, a State Party may keep WHO advised through the NFP and consult WHO on appropriate health measures; such communications are treated as confidential by WHO.",Voluntary consultation (procedural capacity),Binding (as a permission; presupposes functional NFP capacity),Partial/Context-dependent,CC2 – NFP; CC3 – Surveillance
IHR-OBL-008,Art. 9(2),Other reports,"States Parties shall, as far as practicable, inform WHO within 24 hours of evidence of a public health risk identified outside their territory that may cause international disease spread, as manifested by exported or imported human cases, vectors, or contaminated goods.",Reporting (extra-territorial monitoring),Binding (qualified by 'as far as practicable'),Partial/Context-dependent,CC2 – NFP; CC3 – Surveillance; PoE
IHR-OBL-009,Art. 10(2),Verification,"When WHO requests verification, each State Party shall provide: within 24 hours, an initial reply or acknowledgement; within 24 hours, available public health information on the status of the events concerned; and information relevant for risk assessment under Art. 6.",Verification (responsive duty),Binding,Yes,CC2 – NFP; CC3 – Surveillance
IHR-OBL-010,Art. 13(1),Public health response,"Each State Party shall develop, strengthen and maintain, as soon as possible but no later than five years from entry into force, the capacity to respond promptly and effectively to public health risks and PHEICs as set out in Annex 1.",Capacity development (core capacity),Binding,Yes,CC4 – Response; CC5 – Preparedness; CC1 – National legislation; CC8 – Laboratory
IHR-OBL-011,"Annex 1A, par.2",Core capacity requirements — self-assessment and action planning,"Each State Party shall assess, within two years of entry into force for that State, the ability of existing national structures and resources to meet minimum core capacity requirements and shall develop and implement plans of action to ensure these capacities are present and functioning.",Planning and self-assessment,Binding,Yes,"CC1 – National legislation, policy and financing; CC5 – Preparedness"
IHR-OBL-012,"Annex 1A, par.4",Core capacity — community and primary public health response level,At community and primary public health response levels: capacity to detect events involving disease or death above expected levels; to report all essential information immediately to the appropriate level; and to implement preliminary control measures immediately.,Capacity development (community level),Binding,Yes,CC3 – Surveillance; CC4 – Response
