norm_id,norm_title,short_title,instrument_type,normative_hierarchy,government_level,territorial_scope,issuing_authority,publication_date,last_amendment_date,official_source,carried_mappings,source_status,cutoff_note,date_verification_note
MEX-001,Ley sobre la Aprobación de Tratados Internacionales en Materia Económica,Ley aprobación tratados materia económica,federal_law,federal_or_national_law,federal,national,Congress of the Union / Cámara de Diputados,2004-09-02,2004-09-02,Converted from PDF (B_271.pdf) via Cámara de Diputados,screened_only,in_force,,"No ""Ultima Reforma"" line in source header (only ""Nueva Ley DOF 02-09-2004""); no subsequent reform published, so treated as same date as publication."
MEX-002,Ley General de Salud,Ley General de Salud,general_law,general_law,federal,national,Congress of the Union / Cámara de Diputados,1984-02-07,2026-01-15,Converted from PDF (C_LGS-6.pdf) via Cámara de Diputados,yes,in_force,,"Confirmed via primary source header (ley_general_de_salud...md): ""Nueva Ley publicada...el 7 de febrero de 1984""."
MEX-003,Ley sobre la Celebración de Tratados,Ley celebración de tratados,federal_law,federal_or_national_law,federal,national,Congress of the Union / Cámara de Diputados,1992-01-02,2025-11-14,Converted from PDF (B_LSCT.pdf) via Cámara de Diputados,screened_only,in_force,,"Source header: ""Nueva Ley publicada en el Diario Oficial de la Federacion el 2 de enero de 1992""."
MEX-004,Constitución Política de los Estados Unidos Mexicanos,CPEUM latest reform 2026-04-23,constitution,constitution,federal,national,Cámara de Diputados del H. Congreso de la Unión / Secretaría de Servicios Parlamentarios,1917-02-05,2026-04-23,Converted from PDF (CPEUM-20.pdf) via Cámara de Diputados,yes,in_force,"curated consolidated text reflects a reform dated 2026-04-23, after the pilot's 31 Jan 2026 domestic-law cutoff; article existence is confirmed but wording should be read against the version in force at cutoff (see S3a verification_note on the 5 constitutional mapping records)","Confirmed via primary source header (mexico_constitution_cpeum...md): ""Constitucion publicada...el 5 de febrero de 1917""."
MEX-005,Ley Federal de Procedimiento Administrativo,LFPA,federal_law,federal_or_national_law,federal,federal administration,Congreso de la Unión,1994-08-04,2025-11-14,Converted from PDF (D_LFPA.pdf) via Cámara de Diputados,screened_only,in_force,,"Source header: ""Nueva Ley publicada en el Diario Oficial de la Federacion el 4 de agosto de 1994""."
MEX-006,Ley Federal de Presupuesto y Responsabilidad Hacendaria,LFPRH,federal_law,federal_or_national_law,federal,federal,Congreso de la Unión,2006-03-30,2026-04-09,Converted from PDF (F_LFPRH-7.pdf) via Cámara de Diputados,screened_only,in_force,,"Source header: ""Nueva Ley publicada en el Diario Oficial de la Federacion el 30 de marzo de 2006""."
MEX-007,Ley General de Protección de Datos Personales en Posesión de Sujetos Obligados,LGPDPPSO,general_law,general_law,federal and subnational,national — federal and subnational public authorities,Congreso de la Unión,2025-03-20,2025-11-14,Converted from PDF (G_LGPDPPSO.pdf) via Cámara de Diputados,yes,in_force,,"CORRECTED: initially filled as 2017-01-26 from S3a's official_publication_date for this instrument, but the actual source document this corpus entry is built from (G_LGPDPPSO.pdf, per official_source) has the header ""Nueva Ley publicada en el Diario Oficial de la Federacion el 20 de marzo de 2025"" -- a full replacement law, not an amendment to the 2017 text. Used the primary source date (2025-03-20). Flagging for the author: S3a's 2017-01-26 may refer to the prior (now-superseded) LGPDPPSO, or may be an error -- please confirm which LGPDPPSO version the mapping records actually cite."
MEX-008,Ley General de Transparencia y Acceso a la Información Pública,LGTAIP,general_law,general_law,federal and subnational,"national — federal, state and municipal obligated subjects",Congreso de la Unión,2025-03-20,2025-03-20,Converted from PDF (G_LGTAIP-2.pdf) via Cámara de Diputados,screened_only,in_force,,
MEX-009,Ley Orgánica de la Administración Pública Federal,LOAPF,organic_law,federal_or_national_law,federal,federal,Congreso de la Unión,1976-12-29,2025-07-16,Converted from PDF (D_LOAPF-10.pdf) via Cámara de Diputados,yes,in_force,,"Confirmed correct via 01_sources/mexico/metadata (source header: ""Ultimas reformas DOF 16-07-2025"" = 2025-07-16, matching this row). S3a's version_or_last_reform_date for this instrument (2025-06-20) disagrees and should be corrected there -- see CHANGELOG."
MEX-010,Ley de Planeación,Ley de Planeación,federal_law,federal_or_national_law,federal,federal,Congreso de la Unión,1983-01-05,2026-01-15,Converted from PDF (F_LPlan-4.pdf) via Cámara de Diputados,screened_only,in_force,,"Source header: ""Nueva Ley publicada en el Diario Oficial de la Federacion el 5 de enero de 1983""."
MEX-011,Ley de Infraestructura de la Calidad,LICal,federal_law,federal_or_national_law,federal,federal,Congreso de la Unión,2020-07-01,2020-07-01,Converted from PDF (E_LICal_010720-4.pdf) via Cámara de Diputados,screened_only,in_force,,
MEX-012,"NOM-017-SSA2-2012, Para la vigilancia epidemiológica",NOM-017 vigilancia epidemiológica,nom_official_mexican_standard,nom_or_technical_standard,federal,national,Secretaría de Salud,2013-02-19,2013-02-19,Converted from PDF (C_00_NOM-017-SSA2-2012_para_vig_epidemiologica.pdf),yes,in_force,,"No ""Ultima Reforma"" line in source header; no subsequent modification published, so treated as same date as publication."
MEX-013,"Acuerdo por el que se reforman, adicionan y derogan diversas disposiciones del Reglamento Interior de la Comisión del Compendio Nacional de Insumos para la Salud",Reforma Comisión Compendio Nacional de Insumos 2023,administrative_agreement,administrative_agreement,federal,federal,Consejo de Salubridad General,2023-06-30,2023-06-30,Converted from DOC (C_reg083_30jun23.doc) via DOF,screened_only,superseded,,
MEX-014,Decreto por el que se reforman y derogan diversas disposiciones del Reglamento Interior de la Secretaría de Salud,Reforma Reglamento Interior Secretaría de Salud 2018,decree,internal_regulation,federal,federal,Presidencia de la República / Secretaría de Salud,2018-02-07,2018-02-07,Converted from DOC (C_n23_07feb18.doc) via DOF,screened_only,superseded,,
MEX-015,Reglamento de la Ley General de Salud en Materia de Investigación para la Salud,Reglamento LGS investigación para la salud,regulation,regulation,federal,national,Presidencia de la República / Secretaría de Salud,1987-01-06,2014-04-02,Converted from PDF (C_Reg_LGS_MIS.pdf) via Secretaría de Salud,yes,in_force,,"Confirmed via primary source header (reglamento_lgs_materia_investigacion_salud...md): ""Nuevo Reglamento publicado...el 6 de enero de 1987""."
MEX-016,Reglamento de la Ley General de Salud en Materia de Sanidad Internacional,Reglamento LGS sanidad internacional,regulation,regulation,federal,"national — ports, airports, border crossings and international health points",Presidencia de la República / Secretaría de Salud,1985-02-18,1985-07-10,Converted from PDF (C_Reg_LGS_MSI.pdf) via Secretaría de Salud,yes,in_force,,"Source header: ""Fe de erratas DOF 10-07-1985"" -- this is a published correction notice, not a substantive amendment. No substantive reform identified since original 1985-02-18 publication, consistent with the pilot's finding that RLGS-SI predates and was never substantively updated for IHR 2005."
MEX-017,Reglamento Interior de la Secretaría de Salud,Reglamento Interior SS 2025,internal_regulation,internal_regulation,federal,national,"Presidencia de la República — Presidenta Claudia Sheinbaum Pardo; refrendado por David Kershenobich Stalnikowitz, Secretario de Salud",2025-02-27,2025-02-27,Diario Oficial de la Federación (DOF) 2025-02-27,yes,in_force,,
MEX-018,Ley Aduanera,Ley Aduanera,federal_law,federal_or_national_law,federal,federal,Congreso de los Estados Unidos Mexicanos,1995-12-15,2025-11-19,Converted from PDF (LAdua.pdf) via Cámara de Diputados,yes,in_force,,
