mapping_id,obligation_id,domestic_norm,domestic_article,anchor_status,source_rank,correspondence_type,actor_fit,procedure_fit,coordination_fit,enforcement_fit,rights_safeguard_fit,vertical_mandate_specification,gap_type,model_confidence_label,review_status
MEX_MAP_IHR2005_001_001,IHR-OBL-001,Reglamento Interior de la Secretaría de Salud,"Art. 35, frac. XIX",identified,1.0,direct statutory,strong,partial,partial,weak,not directly implicated,partial,procedural gap,high,preliminary_ai_assisted
MEX_MAP_IHR2005_001_002,IHR-OBL-001,"NOM-017-SSA2-2012, Para la vigilancia epidemiológica",Numeral 6.6.1–6.6.2,identified,1.0,regulatory,strong,partial,partial,weak,not directly implicated,partial,procedural gap,high,preliminary_ai_assisted
MEX_MAP_IHR2005_001_003,IHR-OBL-001,Reglamento Interior de la Secretaría de Salud,Art. 2,identified,1.0,actor-only,strong,weak,weak,none identified,not directly implicated,not directly implicated,procedural gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_002_001,IHR-OBL-002,Ley General de Salud,"Art. 134, fracciones I-XIV",identified,2.0,indirect statutory,strong,partial,partial,weak,not directly implicated,partial,regulatory gap,high,preliminary_ai_assisted
MEX_MAP_IHR2005_002_002,IHR-OBL-002,"NOM-017-SSA2-2012, Para la vigilancia epidemiológica",Numeral 4.2–4.3,identified,1.0,regulatory,strong,partial,partial,partial,not directly implicated,partial,regulatory gap,high,preliminary_ai_assisted
MEX_MAP_IHR2005_002_003,IHR-OBL-002,Reglamento Interior de la Secretaría de Salud,"Art. 35, frac. X",identified,1.0,indirect statutory,strong,partial,partial,weak,not directly implicated,partial,regulatory gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_003_001,IHR-OBL-003,Reglamento Interior de la Secretaría de Salud,"Art. 35, frac. XIX",identified,1.0,actor-only,strong,weak,weak,none identified,not directly implicated,not directly implicated,procedural gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_003_002,IHR-OBL-003,Ley General de Salud,"Art. 136, fracciones I-IV",identified,2.0,indirect statutory,partial,weak,weak,none identified,not directly implicated,not directly implicated,full gap,low,requires_human_review
MEX_MAP_IHR2005_004_001,IHR-OBL-004,Ley General de Salud,"Art. 136, fracciones I-IV",identified,2.0,direct statutory,strong,partial,partial,partial,not directly implicated,partial,procedural gap,high,preliminary_ai_assisted
MEX_MAP_IHR2005_004_002,IHR-OBL-004,Reglamento de la Ley General de Salud en Materia de Sanidad Internacional,Artículo 14,identified,1.0,direct statutory,strong,partial,partial,partial,not directly implicated,not directly implicated,procedural gap,high,preliminary_ai_assisted
MEX_MAP_IHR2005_004_003,IHR-OBL-004,"NOM-017-SSA2-2012, Para la vigilancia epidemiológica",Numeral 6.6.1–6.6.2,identified,1.0,regulatory,strong,partial,partial,weak,not directly implicated,partial,procedural gap,high,preliminary_ai_assisted
MEX_MAP_IHR2005_005_001,IHR-OBL-005,Reglamento Interior de la Secretaría de Salud,"Art. 35, frac. XIX",identified,1.0,actor-only,strong,partial,weak,weak,not directly implicated,not directly implicated,procedural gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_005_002,IHR-OBL-005,Ley General de Salud,"Art. 136, fracciones I-IV",identified,2.0,indirect statutory,partial,weak,weak,none identified,not directly implicated,not directly implicated,procedural gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_006_001,IHR-OBL-006,Ley General de Salud,"Art. 136, fracciones I-IV",identified,2.0,indirect statutory,partial,partial,partial,weak,not directly implicated,partial,partial regulatory gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_006_002,IHR-OBL-006,Ley General de Salud,Art. 181,identified,2.0,indirect statutory,partial,weak,weak,weak,not directly implicated,partial,procedural gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_007_001,IHR-OBL-007,Reglamento Interior de la Secretaría de Salud,"Art. 33, fracs. I-IV",identified,1.0,coordination,strong,weak,partial,none identified,not directly implicated,not directly implicated,procedural gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_007_002,IHR-OBL-007,Reglamento Interior de la Secretaría de Salud,"Art. 35, frac. XIX",identified,1.0,actor-only,strong,weak,weak,none identified,not directly implicated,not directly implicated,procedural gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_008_001,IHR-OBL-008,Reglamento Interior de la Secretaría de Salud,"Art. 35, frac. XIX",identified,1.0,actor-only,strong,weak,weak,none identified,not directly implicated,not directly implicated,procedural gap,low,requires_human_review
MEX_MAP_IHR2005_009_001,IHR-OBL-009,Reglamento Interior de la Secretaría de Salud,"Art. 35, frac. XIX",identified,1.0,actor-only,strong,weak,weak,none identified,not directly implicated,not directly implicated,procedural gap,low,requires_human_review
MEX_MAP_IHR2005_010_001,IHR-OBL-010,Ley General de Salud,Art. 181,identified,2.0,indirect statutory,partial,partial,partial,partial,not directly implicated,partial,regulatory gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_010_002,IHR-OBL-010,Ley General de Salud,"Art. 184, fracciones I-V",identified,2.0,indirect statutory,strong,partial,partial,partial,not directly implicated,partial,regulatory gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_010_003,IHR-OBL-010,Reglamento Interior de la Secretaría de Salud,"Art. 43, frac. IX",identified,1.0,indirect statutory,strong,partial,partial,weak,not directly implicated,partial,regulatory gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_011_001,IHR-OBL-011,,,not_identified,,no correspondence,none identified,none identified,none identified,none identified,not directly implicated,not directly implicated,no correspondence identified in corpus,high,requires_human_review
MEX_MAP_IHR2005_012_001,IHR-OBL-012,Ley General de Salud,"Art. 134, fracciones I-XIV",identified,2.0,indirect statutory,partial,partial,partial,weak,not directly implicated,partial,regulatory gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_012_002,IHR-OBL-012,"NOM-017-SSA2-2012, Para la vigilancia epidemiológica",Numeral 4.2–4.3,identified,1.0,regulatory,strong,partial,partial,partial,not directly implicated,partial,regulatory gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_013_001,IHR-OBL-013,Ley General de Salud,Art. 146,identified,2.0,indirect statutory,partial,partial,partial,weak,not directly implicated,partial,regulatory gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_013_002,IHR-OBL-013,"NOM-017-SSA2-2012, Para la vigilancia epidemiológica",Numeral 3.1.11–3.1.12,identified,1.0,regulatory,strong,partial,partial,partial,not directly implicated,partial,regulatory gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_014_001,IHR-OBL-014,Ley General de Salud,"Art. 134, fracciones I-XIV",identified,2.0,indirect statutory,strong,partial,partial,partial,not directly implicated,partial,regulatory gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_014_002,IHR-OBL-014,"NOM-017-SSA2-2012, Para la vigilancia epidemiológica",Numeral 6.6.1–6.6.2,identified,1.0,regulatory,strong,partial,partial,partial,not directly implicated,partial,procedural gap,high,preliminary_ai_assisted
MEX_MAP_IHR2005_015_001,IHR-OBL-015,Ley General de Salud,Art. 181,identified,2.0,indirect statutory,partial,partial,partial,partial,not directly implicated,partial,regulatory gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_015_002,IHR-OBL-015,Reglamento Interior de la Secretaría de Salud,"Art. 43, frac. IX",identified,1.0,indirect statutory,strong,partial,partial,partial,not directly implicated,partial,regulatory gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_016_001,IHR-OBL-016,Reglamento de la Ley General de Salud en Materia de Sanidad Internacional,Art. 26,identified,1.0,regulatory,strong,partial,partial,partial,not directly implicated,partial,partial regulatory gap,high,preliminary_ai_assisted
MEX_MAP_IHR2005_016_002,IHR-OBL-016,Reglamento de la Ley General de Salud en Materia de Sanidad Internacional,Art. 27,identified,1.0,regulatory,strong,partial,partial,partial,not directly implicated,partial,partial regulatory gap,high,preliminary_ai_assisted
MEX_MAP_IHR2005_016_003,IHR-OBL-016,Ley General de Salud,Art. 352,identified,2.0,direct statutory,strong,partial,partial,weak,not directly implicated,partial,regulatory gap,high,preliminary_ai_assisted
MEX_MAP_IHR2005_017_001,IHR-OBL-017,Reglamento de la Ley General de Salud en Materia de Sanidad Internacional,Art. 26,identified,1.0,regulatory,strong,partial,partial,partial,not directly implicated,partial,regulatory gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_017_002,IHR-OBL-017,Reglamento de la Ley General de Salud en Materia de Sanidad Internacional,Artículo 6o.,identified,1.0,regulatory,strong,partial,partial,partial,not directly implicated,partial,partial regulatory gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_018_001,IHR-OBL-018,Ley General de Salud,Art. 352,identified,2.0,direct statutory,strong,partial,partial,weak,not directly implicated,partial,regulatory gap,high,preliminary_ai_assisted
MEX_MAP_IHR2005_018_002,IHR-OBL-018,Reglamento de la Ley General de Salud en Materia de Sanidad Internacional,Art. 10,identified,1.0,regulatory,strong,partial,partial,partial,not directly implicated,partial,partial regulatory gap,high,preliminary_ai_assisted
MEX_MAP_IHR2005_019_001,IHR-OBL-019,Reglamento de la Ley General de Salud en Materia de Sanidad Internacional,Art. 10,identified,1.0,regulatory,strong,strong,partial,partial,not directly implicated,partial,procedural gap,high,preliminary_ai_assisted
MEX_MAP_IHR2005_019_002,IHR-OBL-019,Ley General de Salud,Art. 352,identified,2.0,indirect statutory,strong,partial,partial,weak,not directly implicated,partial,none,high,preliminary_ai_assisted
MEX_MAP_IHR2005_020_001,IHR-OBL-020,Reglamento de la Ley General de Salud en Materia de Sanidad Internacional,Art. 44,identified,1.0,regulatory,partial,weak,weak,weak,not directly implicated,not directly implicated,regulatory gap,low,requires_human_review
MEX_MAP_IHR2005_021_001,IHR-OBL-021,Ley General de Salud,Art. 359,identified,2.0,indirect statutory,partial,weak,weak,none identified,not directly implicated,not directly implicated,procedural gap,low,requires_human_review
MEX_MAP_IHR2005_022_001,IHR-OBL-022,Reglamento de la Ley General de Salud en Materia de Sanidad Internacional,Art. 26,identified,1.0,regulatory,strong,partial,partial,partial,not directly implicated,partial,partial regulatory gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_022_002,IHR-OBL-022,Ley Aduanera,Art. 3o.,identified,2.0,coordination,partial,weak,partial,weak,not directly implicated,partial,coordination gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_023_001,IHR-OBL-023,Ley General de Salud,"Art. 17 Bis, fracción IX",identified,2.0,direct statutory,strong,partial,partial,partial,not directly implicated,partial,procedural gap,high,preliminary_ai_assisted
MEX_MAP_IHR2005_023_002,IHR-OBL-023,Reglamento de la Ley General de Salud en Materia de Sanidad Internacional,Art. 44,identified,1.0,regulatory,strong,partial,partial,partial,not directly implicated,partial,partial regulatory gap,high,preliminary_ai_assisted
MEX_MAP_IHR2005_024_001,IHR-OBL-024,Constitución Política de los Estados Unidos Mexicanos,"Art. 14, párrafos 1-2",identified,3.0,constitutional basis,partial,partial,none identified,partial,strong,not directly implicated,rights safeguard gap,high,preliminary_ai_assisted
MEX_MAP_IHR2005_024_002,IHR-OBL-024,Ley General de Salud,"Art. 139, fracciones I-VIII",identified,2.0,indirect statutory,partial,partial,partial,partial,strong,partial,rights safeguard gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_025_001,IHR-OBL-025,Reglamento de la Ley General de Salud en Materia de Sanidad Internacional,Art. 69,identified,1.0,regulatory,partial,partial,partial,partial,strong,not directly implicated,rights safeguard gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_025_002,IHR-OBL-025,Reglamento de la Ley General de Salud en Materia de Sanidad Internacional,Art. 70,identified,1.0,regulatory,partial,partial,partial,partial,strong,not directly implicated,rights safeguard gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_026_001,IHR-OBL-026,Reglamento de la Ley General de Salud en Materia de Sanidad Internacional,Art. 44,identified,1.0,regulatory,strong,partial,partial,partial,not directly implicated,not directly implicated,partial regulatory gap,high,preliminary_ai_assisted
MEX_MAP_IHR2005_026_002,IHR-OBL-026,Ley Aduanera,Art. 7o.,identified,2.0,indirect statutory,partial,weak,partial,weak,not directly implicated,not directly implicated,regulatory gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_027_001,IHR-OBL-027,Reglamento de la Ley General de Salud en Materia de Sanidad Internacional,Art. 68,identified,1.0,regulatory,strong,partial,partial,partial,not directly implicated,not directly implicated,procedural gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_027_002,IHR-OBL-027,Reglamento de la Ley General de Salud en Materia de Sanidad Internacional,Art. 69,identified,1.0,regulatory,partial,partial,partial,partial,partial,not directly implicated,procedural gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_028_001,IHR-OBL-028,Reglamento de la Ley General de Salud en Materia de Sanidad Internacional,Art. 69,identified,1.0,regulatory,strong,partial,partial,partial,partial,not directly implicated,rights safeguard gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_028_002,IHR-OBL-028,Reglamento de la Ley General de Salud en Materia de Sanidad Internacional,Art. 70,identified,1.0,regulatory,partial,partial,partial,partial,partial,not directly implicated,procedural gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_029_001,IHR-OBL-029,Constitución Política de los Estados Unidos Mexicanos,"Art. 14, párrafos 1-2",identified,3.0,constitutional basis,partial,partial,none identified,partial,strong,not directly implicated,rights safeguard gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_029_002,IHR-OBL-029,Ley General de Salud,"Art. 139, fracciones I-VIII",identified,2.0,indirect statutory,partial,partial,partial,partial,strong,partial,rights safeguard gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_030_001,IHR-OBL-030,Ley General de Salud,"Art. 139, fracciones I-VIII",identified,2.0,indirect statutory,strong,partial,partial,partial,partial,partial,partial regulatory gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_030_002,IHR-OBL-030,Reglamento de la Ley General de Salud en Materia de Sanidad Internacional,Art. 68,identified,1.0,regulatory,strong,partial,partial,partial,partial,not directly implicated,procedural gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_031_001,IHR-OBL-031,Constitución Política de los Estados Unidos Mexicanos,Art. 1o.,identified,3.0,constitutional basis,partial,none identified,none identified,partial,strong,not directly implicated,rights safeguard gap,high,preliminary_ai_assisted
MEX_MAP_IHR2005_031_002,IHR-OBL-031,Reglamento de la Ley General de Salud en Materia de Sanidad Internacional,Art. 69,identified,1.0,regulatory,partial,partial,partial,partial,partial,not directly implicated,rights safeguard gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_032_001,IHR-OBL-032,Reglamento de la Ley General de Salud en Materia de Sanidad Internacional,Art. 9,identified,1.0,regulatory,strong,partial,partial,partial,not directly implicated,not directly implicated,regulatory gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_033_001,IHR-OBL-033,Reglamento de la Ley General de Salud en Materia de Sanidad Internacional,Artículo 3o.,identified,1.0,regulatory,partial,weak,weak,weak,not directly implicated,not directly implicated,regulatory gap,low,requires_human_review
MEX_MAP_IHR2005_034_001,IHR-OBL-034,Reglamento de la Ley General de Salud en Materia de Sanidad Internacional,Art. 9,identified,1.0,regulatory,strong,partial,partial,partial,not directly implicated,not directly implicated,procedural gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_035_001,IHR-OBL-035,Reglamento de la Ley General de Salud en Materia de Sanidad Internacional,Art. 9,identified,1.0,regulatory,strong,partial,partial,partial,not directly implicated,not directly implicated,procedural gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_036_001,IHR-OBL-036,Reglamento de la Ley General de Salud en Materia de Sanidad Internacional,Art. 44,identified,1.0,regulatory,partial,weak,weak,weak,not directly implicated,not directly implicated,regulatory gap,low,requires_human_review
MEX_MAP_IHR2005_037_001,IHR-OBL-037,,,not_identified,,no correspondence,none identified,none identified,none identified,none identified,not directly implicated,not directly implicated,no correspondence identified in corpus,high,requires_human_review
MEX_MAP_IHR2005_038_001,IHR-OBL-038,Ley Aduanera,"Art. 56, párrafo 4 (regulaciones y restricciones no arancelarias / sanidad)",identified,2.0,contextual support,partial,weak,weak,weak,not directly implicated,partial,full gap,low,requires_human_review
MEX_MAP_IHR2005_039_001,IHR-OBL-039,Constitución Política de los Estados Unidos Mexicanos,Art. 1o.,identified,3.0,constitutional basis,partial,none identified,none identified,partial,strong,not directly implicated,rights safeguard gap,high,preliminary_ai_assisted
MEX_MAP_IHR2005_039_002,IHR-OBL-039,Ley General de Salud,"Art. 139, fracciones I-VIII",identified,2.0,indirect statutory,partial,partial,partial,partial,partial,partial,procedural gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_040_001,IHR-OBL-040,Ley General de Salud,Art. 181,identified,2.0,indirect statutory,strong,partial,partial,partial,partial,partial,regulatory gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_040_002,IHR-OBL-040,Ley General de Salud,"Art. 184, fracciones I-V",identified,2.0,indirect statutory,strong,partial,partial,partial,partial,partial,regulatory gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_041_001,IHR-OBL-041,Reglamento Interior de la Secretaría de Salud,"Art. 35, frac. XIX",identified,1.0,actor-only,strong,weak,weak,none identified,not directly implicated,not directly implicated,procedural gap,low,requires_human_review
MEX_MAP_IHR2005_042_001,IHR-OBL-042,Ley General de Salud,"Art. 184, fracciones I-V",identified,2.0,indirect statutory,partial,weak,weak,weak,not directly implicated,partial,procedural gap,low,requires_human_review
MEX_MAP_IHR2005_043_001,IHR-OBL-043,Reglamento Interior de la Secretaría de Salud,"Art. 33, fracs. I-IV",identified,1.0,coordination,strong,partial,partial,partial,not directly implicated,partial,regulatory gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_043_002,IHR-OBL-043,Ley Orgánica de la Administración Pública Federal,Artículo 28,identified,2.0,indirect statutory,strong,partial,partial,weak,not directly implicated,partial,coordination gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_044_001,IHR-OBL-044,Ley General de Protección de Datos Personales en Posesión de Sujetos Obligados,Artículo 16,identified,2.0,direct statutory,strong,strong,partial,strong,strong,partial,partial regulatory gap,high,preliminary_ai_assisted
MEX_MAP_IHR2005_044_002,IHR-OBL-044,Constitución Política de los Estados Unidos Mexicanos,"Art. 16, párrafos 1-2",identified,3.0,constitutional basis,partial,partial,none identified,partial,strong,not directly implicated,none,high,preliminary_ai_assisted
MEX_MAP_IHR2005_045_001,IHR-OBL-045,Reglamento de la Ley General de Salud en Materia de Investigación para la Salud,Art. 11,identified,1.0,indirect statutory,weak,weak,weak,none identified,not directly implicated,not directly implicated,full gap,low,requires_human_review
