mapping_id,obligation_id,domestic_norm,domestic_article,source_type,source_rank,correspondence_presence,coverage_status,actor_fit,procedure_fit,coordination_fit,enforcement_fit,rights_safeguard_fit,vertical_mandate_specification,gap_type,review_priority,review_status
MEX_MAP_IHR2005_001_001,IHR-OBL-001,Reglamento Interior de la Secretaría de Salud,"Art. 35, frac. XIX",regulation,1,substantive_complete,complete_coverage,strong,partial,partial,weak,not directly implicated,partial,procedural gap,high,preliminary_ai_assisted
MEX_MAP_IHR2005_001_002,IHR-OBL-001,"NOM-017-SSA2-2012, Para la vigilancia epidemiológica",Numeral 6.6.1–6.6.2,NOM,1,substantive_partial,partial_coverage,strong,partial,partial,weak,not directly implicated,partial,procedural gap,high,preliminary_ai_assisted
MEX_MAP_IHR2005_001_003,IHR-OBL-001,Reglamento Interior de la Secretaría de Salud,Art. 2,regulation,1,substantive_partial,partial_coverage,strong,weak,weak,none identified,not directly implicated,not directly implicated,procedural gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_002_001,IHR-OBL-002,Ley General de Salud,"Art. 134, fracciones I-XIV",statute,2,substantive_partial,partial_coverage,strong,partial,partial,weak,not directly implicated,partial,regulatory gap,high,preliminary_ai_assisted
MEX_MAP_IHR2005_002_002,IHR-OBL-002,"NOM-017-SSA2-2012, Para la vigilancia epidemiológica",Numeral 4.2–4.3,NOM,1,substantive_partial,partial_coverage,strong,partial,partial,partial,not directly implicated,partial,regulatory gap,high,preliminary_ai_assisted
MEX_MAP_IHR2005_002_003,IHR-OBL-002,Reglamento Interior de la Secretaría de Salud,"Art. 35, frac. X",regulation,1,substantive_partial,partial_coverage,strong,partial,partial,weak,not directly implicated,partial,regulatory gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_003_001,IHR-OBL-003,Reglamento Interior de la Secretaría de Salud,"Art. 35, frac. XIX",regulation,1,substantive_partial,partial_coverage,strong,weak,weak,none identified,not directly implicated,not directly implicated,procedural gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_003_002,IHR-OBL-003,Ley General de Salud,"Art. 136, fracciones I-IV",statute,2,contextual_or_enabling_only,no_substantive_coverage,partial,weak,weak,none identified,not directly implicated,not directly implicated,full gap,low,requires_human_review
MEX_MAP_IHR2005_004_001,IHR-OBL-004,Ley General de Salud,"Art. 136, fracciones I-IV",statute,2,substantive_complete,complete_coverage,strong,partial,partial,partial,not directly implicated,partial,procedural gap,high,preliminary_ai_assisted
MEX_MAP_IHR2005_004_002,IHR-OBL-004,Reglamento de la Ley General de Salud en Materia de Sanidad Internacional,Artículo 14,regulation,1,substantive_complete,complete_coverage,strong,partial,partial,partial,not directly implicated,not directly implicated,procedural gap,high,preliminary_ai_assisted
MEX_MAP_IHR2005_004_003,IHR-OBL-004,"NOM-017-SSA2-2012, Para la vigilancia epidemiológica",Numeral 6.6.1–6.6.2,NOM,1,substantive_partial,partial_coverage,strong,partial,partial,weak,not directly implicated,partial,procedural gap,high,preliminary_ai_assisted
MEX_MAP_IHR2005_005_001,IHR-OBL-005,Reglamento Interior de la Secretaría de Salud,"Art. 35, frac. XIX",regulation,1,substantive_partial,partial_coverage,strong,partial,weak,weak,not directly implicated,not directly implicated,procedural gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_005_002,IHR-OBL-005,Ley General de Salud,"Art. 136, fracciones I-IV",statute,2,substantive_partial,partial_coverage,partial,weak,weak,none identified,not directly implicated,not directly implicated,procedural gap,medium,preliminary_ai_assisted
