source,target,type,weight,rows
RIS,IHR-OBL-001,anchors,1,2
RIS,IHR-OBL-002,anchors,1,1
RIS,IHR-OBL-003,anchors,1,1
RIS,IHR-OBL-005,anchors,1,1
RIS,IHR-OBL-007,anchors,1,2
RIS,IHR-OBL-008,anchors,1,1
RIS,IHR-OBL-009,anchors,1,1
RIS,IHR-OBL-010,anchors,1,1
RIS,IHR-OBL-015,anchors,1,1
RIS,IHR-OBL-041,anchors,1,1
RIS,IHR-OBL-043,anchors,1,1
IHR-OBL-001,NOM-017,anchors,1,1
NOM-017,IHR-OBL-002,anchors,1,1
NOM-017,IHR-OBL-004,anchors,1,1
NOM-017,IHR-OBL-012,anchors,1,1
NOM-017,IHR-OBL-013,anchors,1,1
NOM-017,IHR-OBL-014,anchors,1,1
LGS,IHR-OBL-002,anchors,2,1
LGS,IHR-OBL-003,anchors,2,1
LGS,IHR-OBL-004,anchors,2,1
LGS,IHR-OBL-005,anchors,2,1
LGS,IHR-OBL-006,anchors,2,2
LGS,IHR-OBL-010,anchors,2,2
LGS,IHR-OBL-012,anchors,2,1
LGS,IHR-OBL-013,anchors,2,1
LGS,IHR-OBL-014,anchors,2,1
LGS,IHR-OBL-015,anchors,2,1
LGS,IHR-OBL-016,anchors,2,1
LGS,IHR-OBL-018,anchors,2,1
LGS,IHR-OBL-019,anchors,2,1
LGS,IHR-OBL-021,anchors,2,1
LGS,IHR-OBL-023,anchors,2,1
LGS,IHR-OBL-024,anchors,2,1
LGS,IHR-OBL-029,anchors,2,1
LGS,IHR-OBL-030,anchors,2,1
LGS,IHR-OBL-039,anchors,2,1
LGS,IHR-OBL-040,anchors,2,2
LGS,IHR-OBL-042,anchors,2,1
IHR-OBL-004,RLGS-SI,anchors,1,1
RLGS-SI,IHR-OBL-016,anchors,1,2
RLGS-SI,IHR-OBL-017,anchors,1,2
RLGS-SI,IHR-OBL-018,anchors,1,1
RLGS-SI,IHR-OBL-019,anchors,1,1
RLGS-SI,IHR-OBL-020,anchors,1,1
RLGS-SI,IHR-OBL-022,anchors,1,1
RLGS-SI,IHR-OBL-023,anchors,1,1
RLGS-SI,IHR-OBL-025,anchors,1,2
RLGS-SI,IHR-OBL-026,anchors,1,1
RLGS-SI,IHR-OBL-027,anchors,1,2
RLGS-SI,IHR-OBL-028,anchors,1,2
RLGS-SI,IHR-OBL-030,anchors,1,1
RLGS-SI,IHR-OBL-031,anchors,1,1
RLGS-SI,IHR-OBL-032,anchors,1,1
RLGS-SI,IHR-OBL-033,anchors,1,1
RLGS-SI,IHR-OBL-034,anchors,1,1
RLGS-SI,IHR-OBL-035,anchors,1,1
RLGS-SI,IHR-OBL-036,anchors,1,1
IHR-OBL-022,Ley Aduanera,anchors,2,1
Ley Aduanera,IHR-OBL-026,anchors,2,1
Ley Aduanera,IHR-OBL-038,anchors,2,1
CPEUM,IHR-OBL-024,anchors,3,1
CPEUM,IHR-OBL-029,anchors,3,1
CPEUM,IHR-OBL-031,anchors,3,1
CPEUM,IHR-OBL-039,anchors,3,1
CPEUM,IHR-OBL-044,anchors,3,1
IHR-OBL-043,LOAPF,anchors,2,1
LGPDPPSO,IHR-OBL-044,anchors,2,1
RLGS-Inv,IHR-OBL-045,anchors,1,1
