node_id,mode,degree,degree_norm,betweenness,community
CPEUM,instrument,5,0.116,0.0879,
LGPDPPSO,instrument,1,0.023,0.0,
LGS,instrument,21,0.488,0.5711,
LOAPF,instrument,1,0.023,0.0,
Ley Aduanera,instrument,3,0.07,0.0383,
NOM-017,instrument,6,0.14,0.0455,
RIS,instrument,11,0.256,0.2292,
RLGS-Inv,instrument,1,0.023,0.0,
RLGS-SI,instrument,19,0.442,0.482,
IHR-OBL-001,obligation,2,0.222,0.01,0
IHR-OBL-002,obligation,3,0.333,0.0568,0
IHR-OBL-003,obligation,2,0.222,0.0424,0
IHR-OBL-004,obligation,3,0.333,0.0957,1
IHR-OBL-005,obligation,2,0.222,0.0424,0
IHR-OBL-006,obligation,1,0.111,0.0,0
IHR-OBL-007,obligation,1,0.111,0.0,0
IHR-OBL-008,obligation,1,0.111,0.0,0
IHR-OBL-009,obligation,1,0.111,0.0,0
IHR-OBL-010,obligation,2,0.222,0.0424,0
IHR-OBL-012,obligation,2,0.222,0.0044,0
IHR-OBL-013,obligation,2,0.222,0.0044,0
IHR-OBL-014,obligation,2,0.222,0.0044,0
IHR-OBL-015,obligation,2,0.222,0.0424,0
IHR-OBL-016,obligation,2,0.222,0.0485,1
IHR-OBL-017,obligation,1,0.111,0.0,1
IHR-OBL-018,obligation,2,0.222,0.0485,1
IHR-OBL-019,obligation,2,0.222,0.0485,1
IHR-OBL-020,obligation,1,0.111,0.0,1
IHR-OBL-021,obligation,1,0.111,0.0,0
IHR-OBL-022,obligation,2,0.222,0.0398,1
IHR-OBL-023,obligation,2,0.222,0.0485,1
IHR-OBL-024,obligation,2,0.222,0.0247,0
IHR-OBL-025,obligation,1,0.111,0.0,1
IHR-OBL-026,obligation,2,0.222,0.0398,1
IHR-OBL-027,obligation,1,0.111,0.0,1
IHR-OBL-028,obligation,1,0.111,0.0,1
IHR-OBL-029,obligation,2,0.222,0.0247,0
IHR-OBL-030,obligation,2,0.222,0.0485,1
IHR-OBL-031,obligation,2,0.222,0.0487,1
IHR-OBL-032,obligation,1,0.111,0.0,1
IHR-OBL-033,obligation,1,0.111,0.0,1
IHR-OBL-034,obligation,1,0.111,0.0,1
IHR-OBL-035,obligation,1,0.111,0.0,1
IHR-OBL-036,obligation,1,0.111,0.0,1
IHR-OBL-038,obligation,1,0.111,0.0,1
IHR-OBL-039,obligation,2,0.222,0.0247,0
IHR-OBL-040,obligation,1,0.111,0.0,0
IHR-OBL-041,obligation,1,0.111,0.0,0
IHR-OBL-042,obligation,1,0.111,0.0,0
IHR-OBL-043,obligation,2,0.222,0.0416,0
IHR-OBL-044,obligation,2,0.222,0.0416,0
IHR-OBL-045,obligation,1,0.111,0.0,2
