"edge_id","source","target","relationship_type","relationship_label","weight","source_table","source_row_id","instrument","article","domestic_norm","domestic_article","anchoring_level","gap_type","confidence_level","review_status","notes"
"E_3efb5288","MEX_ACTOR_SS_001","MEX-002","has_legal_basis_in","has legal basis in","2.0","mexico_health_governance_actors","MEX_ACTOR_SS_001","Ley General de Salud","","","","","","","","Actor Secretaría de Salud grounded in Ley General de Salud"
"E_b4b6187d","MEX_ACTOR_SS_001","MEX-004","has_legal_basis_in","has legal basis in","2.0","mexico_health_governance_actors","MEX_ACTOR_SS_001","Constitución Política de los Estados Unidos Mexicanos","","","","","","","","Actor Secretaría de Salud grounded in CPEUM latest reform 2026-04-23"
"E_8cf0c26e","MEX_ACTOR_SS_001","MEX-009","has_legal_basis_in","has legal basis in","2.0","mexico_health_governance_actors","MEX_ACTOR_SS_001","Ley Orgánica de la Administración Pública Federal","","","","","","","","Actor Secretaría de Salud grounded in LOAPF"
"E_a469808d","MEX_ACTOR_SS_001","MEX-017","has_legal_basis_in","has legal basis in","2.0","mexico_health_governance_actors","MEX_ACTOR_SS_001","Reglamento Interior de la Secretaría de Salud","","","","","","","","Actor Secretaría de Salud grounded in Reglamento Interior SS 2025"
"E_5be56a9a","MEX_ACTOR_CSG_001","MEX-002","has_legal_basis_in","has legal basis in","2.0","mexico_health_governance_actors","MEX_ACTOR_CSG_001","Ley General de Salud","","","","","","","","Actor Consejo de Salubridad General grounded in Ley General de Salud"
"E_b1a40a31","MEX_ACTOR_CSG_001","MEX-004","has_legal_basis_in","has legal basis in","2.0","mexico_health_governance_actors","MEX_ACTOR_CSG_001","Constitución Política de los Estados Unidos Mexicanos","","","","","","","","Actor Consejo de Salubridad General grounded in CPEUM latest reform 2026-04-23"
"E_5fd805a3","MEX_ACTOR_DGE_001","MEX-017","has_legal_basis_in","has legal basis in","2.0","mexico_health_governance_actors","MEX_ACTOR_DGE_001","Reglamento Interior de la Secretaría de Salud","","","","","","","","Actor Dirección General de Epidemiología grounded in Reglamento Interior SS 2025"
"E_4f5f698e","MEX_ACTOR_COFEPRIS_001","MEX-002","has_legal_basis_in","has legal basis in","2.0","mexico_health_governance_actors","MEX_ACTOR_COFEPRIS_001","Ley General de Salud","","","","","","","","Actor Comisión Federal para la Protección contra Riesgos Sanitarios (COFEPRIS) grounded in Ley General de Salud"
"E_b3d9ebcd","MEX_ACTOR_CENAPRECE_001","MEX-017","has_legal_basis_in","has legal basis in","2.0","mexico_health_governance_actors","MEX_ACTOR_CENAPRECE_001","Reglamento Interior de la Secretaría de Salud","","","","","","","","Actor Centro Nacional de Programas Preventivos y Control de Enfermedades (CENAPRECE) grounded in Reglamento Interior SS …"
"E_999bda7d","MEX_ACTOR_SRE_001","MEX-004","has_legal_basis_in","has legal basis in","2.0","mexico_health_governance_actors","MEX_ACTOR_SRE_001","Constitución Política de los Estados Unidos Mexicanos","","","","","","","","Actor Secretaría de Relaciones Exteriores grounded in CPEUM latest reform 2026-04-23"
"E_7d407e47","MEX_ACTOR_SRE_001","MEX-009","has_legal_basis_in","has legal basis in","2.0","mexico_health_governance_actors","MEX_ACTOR_SRE_001","Ley Orgánica de la Administración Pública Federal","","","","","","","","Actor Secretaría de Relaciones Exteriores grounded in LOAPF"
"E_0c44b75e","MEX_ACTOR_SEGOB_001","MEX-009","has_legal_basis_in","has legal basis in","2.0","mexico_health_governance_actors","MEX_ACTOR_SEGOB_001","Ley Orgánica de la Administración Pública Federal","","","","","","","","Actor Secretaría de Gobernación grounded in LOAPF"
"E_9df6982c","MEX_ACTOR_INM_001","MEX-009","has_legal_basis_in","has legal basis in","2.0","mexico_health_governance_actors","MEX_ACTOR_INM_001","Ley Orgánica de la Administración Pública Federal","","","","","","","","Actor Instituto Nacional de Migración grounded in LOAPF"
"E_75e98ee0","MEX_ACTOR_PORTS_AIRPORTS_001","MEX-002","has_legal_basis_in","has legal basis in","2.0","mexico_health_governance_actors","MEX_ACTOR_PORTS_AIRPORTS_001","Ley General de Salud","","","","","","","","Actor Autoridades portuarias y aeroportuarias (puntos de entrada) grounded in Ley General de Salud"
"E_2932643c","MEX_ACTOR_STATES_001","MEX-002","has_legal_basis_in","has legal basis in","2.0","mexico_health_governance_actors","MEX_ACTOR_STATES_001","Ley General de Salud","","","","","","","","Actor Entidades federativas (gobiernos estatales — 32 entidades) grounded in Ley General de Salud"
"E_6c1aa41a","MEX_ACTOR_STATES_001","MEX-004","has_legal_basis_in","has legal basis in","2.0","mexico_health_governance_actors","MEX_ACTOR_STATES_001","Constitución Política de los Estados Unidos Mexicanos","","","","","","","","Actor Entidades federativas (gobiernos estatales — 32 entidades) grounded in CPEUM latest reform 2026-04-23"
"E_33198b68","MEX_ACTOR_CONGRESS_001","MEX-004","has_legal_basis_in","has legal basis in","2.0","mexico_health_governance_actors","MEX_ACTOR_CONGRESS_001","Constitución Política de los Estados Unidos Mexicanos","","","","","","","","Actor Congreso de la Unión grounded in CPEUM latest reform 2026-04-23"
"E_881ea7c0","MEX_ACTOR_CHAMBER_DEPUTIES_001","MEX-004","has_legal_basis_in","has legal basis in","2.0","mexico_health_governance_actors","MEX_ACTOR_CHAMBER_DEPUTIES_001","Constitución Política de los Estados Unidos Mexicanos","","","","","","","","Actor Cámara de Diputados grounded in CPEUM latest reform 2026-04-23"
"E_721c6ba6","MEX_ACTOR_SENATE_001","MEX-004","has_legal_basis_in","has legal basis in","2.0","mexico_health_governance_actors","MEX_ACTOR_SENATE_001","Constitución Política de los Estados Unidos Mexicanos","","","","","","","","Actor Senado de la República grounded in CPEUM latest reform 2026-04-23"
"E_20e385a9","MEX_ACTOR_ASF_001","MEX-004","has_legal_basis_in","has legal basis in","2.0","mexico_health_governance_actors","MEX_ACTOR_ASF_001","Constitución Política de los Estados Unidos Mexicanos","","","","","","","","Actor Auditoría Superior de la Federación grounded in CPEUM latest reform 2026-04-23"
"E_840ea1e5","MEX_ACTOR_ASF_001","MEX-006","has_legal_basis_in","has legal basis in","2.0","mexico_health_governance_actors","MEX_ACTOR_ASF_001","Ley Federal de Presupuesto y Responsabilidad Hacendaria","","","","","","","","Actor Auditoría Superior de la Federación grounded in LFPRH"
"E_f8b9f737","MEX_ACTOR_CNDH_001","MEX-004","has_legal_basis_in","has legal basis in","2.0","mexico_health_governance_actors","MEX_ACTOR_CNDH_001","Constitución Política de los Estados Unidos Mexicanos","","","","","","","","Actor Comisión Nacional de los Derechos Humanos (CNDH) grounded in CPEUM latest reform 2026-04-23"
"E_f03572b6","MEX_ACTOR_INAI_001","MEX-004","has_legal_basis_in","has legal basis in","2.0","mexico_health_governance_actors","MEX_ACTOR_INAI_001","Constitución Política de los Estados Unidos Mexicanos","","","","","","","","Actor Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales (INAI) / Transparenc…"
"E_4b06a6e1","MEX_ACTOR_INAI_001","MEX-007","has_legal_basis_in","has legal basis in","2.0","mexico_health_governance_actors","MEX_ACTOR_INAI_001","Ley General de Protección de Datos Personales en Posesión de Sujetos Obligados","","","","","","","","Actor Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales (INAI) / Transparenc…"
"E_c70026fd","MEX_ACTOR_INAI_001","MEX-008","has_legal_basis_in","has legal basis in","2.0","mexico_health_governance_actors","MEX_ACTOR_INAI_001","Ley General de Transparencia y Acceso a la Información Pública","","","","","","","","Actor Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales (INAI) / Transparenc…"
"E_96aa6e4d","MEX_ACTOR_SNSP_001","MEX-017","has_legal_basis_in","has legal basis in","2.0","mexico_health_governance_actors","MEX_ACTOR_SNSP_001","Reglamento Interior de la Secretaría de Salud","","","","","","","","Actor Dirección General del Servicio Nacional de Salud Pública (SNSP) grounded in Reglamento Interior SS 2025"
"E_1be40f5d","MEX_ACTOR_DGRI_001","MEX-017","has_legal_basis_in","has legal basis in","2.0","mexico_health_governance_actors","MEX_ACTOR_DGRI_001","Reglamento Interior de la Secretaría de Salud","","","","","","","","Actor Dirección General de Relaciones Internacionales (DGRI) grounded in Reglamento Interior SS 2025"
"E_5640deb4","MEX_PROV_CPEUM_ART029_001","MEX_ACTOR_CONGRESS_001","mentions_actor","mentions actor","1.0","mexico_legal_provisions","MEX_PROV_CPEUM_ART029_001","Constitución Política de los Estados Unidos Mexicanos","Art. 29","","","","","","","Ejecutivo Federal; Congreso de la Unión"
"E_980f59da","MEX_PROV_CPEUM_ART029_001","MEX_ACTOR_CONGRESS_001","grants_power_to","grants power to","2.0","mexico_legal_provisions","MEX_PROV_CPEUM_ART029_001","Constitución Política de los Estados Unidos Mexicanos","Art. 29","","","","","","","President power to restrict or suspend rights during grave emergency, with congressional approval; limited to specific g…"
"E_aa4c39c6","MEX_PROV_CPEUM_ART029_001","MEX_ACTOR_CONGRESS_001","creates_duty_for","creates duty for","1.5","mexico_legal_provisions","MEX_PROV_CPEUM_ART029_001","Constitución Política de los Estados Unidos Mexicanos","Art. 29","","","","","","","Duty of proportionality and legality; duty to convene Congress immediately if in recess; SCJN reviews decrees ex officio"
"E_d9de3a04","MEX_PROV_CPEUM_ART029_001","MEX_ACTOR_CONGRESS_001","creates_procedure_for","creates procedure for","1.5","mexico_legal_provisions","MEX_PROV_CPEUM_ART029_001","Constitución Política de los Estados Unidos Mexicanos","Art. 29","","","","","","","Congressional approval required; SCJN automatic review; time limit; public proclamation"
"E_c2172401","MEX_PROV_CPEUM_ART029_001","MEX_ACTOR_CONGRESS_001","coordinates_with","coordinates with","1.5","mexico_legal_provisions","MEX_PROV_CPEUM_ART029_001","Constitución Política de los Estados Unidos Mexicanos","Art. 29","","","","","","","Ejecutivo-Congreso coordination for emergency powers activation and review"
"E_7cbfefcd","MEX_PROV_CPEUM_ART073_001","MEX_ACTOR_SS_001","mentions_actor","mentions actor","1.0","mexico_legal_provisions","MEX_PROV_CPEUM_ART073_001","Constitución Política de los Estados Unidos Mexicanos","Art. 73, fracción XVI y bases 1a–4a","","","","","","","Congreso de la Unión; Consejo de Salubridad General; Secretaría de Salud; Ejecutivo Federal"
"E_25bfb7c1","MEX_PROV_CPEUM_ART073_001","MEX_ACTOR_SS_001","grants_power_to","grants power to","2.0","mexico_legal_provisions","MEX_PROV_CPEUM_ART073_001","Constitución Política de los Estados Unidos Mexicanos","Art. 73, fracción XVI y bases 1a–4a","","","","","","","Congressional power to legislate on salubridad general; CSG issues mandatory dispositions; SS must immediately take epid…"
"E_cb4200c4","MEX_PROV_CPEUM_ART073_001","MEX_ACTOR_SS_001","creates_duty_for","creates duty for","1.5","mexico_legal_provisions","MEX_PROV_CPEUM_ART073_001","Constitución Política de los Estados Unidos Mexicanos","Art. 73, fracción XVI y bases 1a–4a","","","","","","","SS mandatory duty to immediately issue prevention measures in case of grave epidemic or risk of exotic disease invasion;…"
"E_6b23fe4a","MEX_PROV_CPEUM_ART073_001","MEX_ACTOR_SS_001","creates_procedure_for","creates procedure for","1.5","mexico_legal_provisions","MEX_PROV_CPEUM_ART073_001","Constitución Política de los Estados Unidos Mexicanos","Art. 73, fracción XVI y bases 1a–4a","","","","","","","SS measures subject to presidential sanction (post-hoc); CSG measures reviewed by Congress; CSG depends directly on Pres…"
"E_d9dba3a3","MEX_PROV_CPEUM_ART073_001","MEX_ACTOR_SS_001","coordinates_with","coordinates with","1.5","mexico_legal_provisions","MEX_PROV_CPEUM_ART073_001","Constitución Política de los Estados Unidos Mexicanos","Art. 73, fracción XVI y bases 1a–4a","","","","","","","CSG directly under President; SS-President sanction mechanism; Congressional review of CSG alcohol/environment measures"
"E_bb9a28c4","MEX_PROV_CPEUM_ART090_001","MEX_ACTOR_CONGRESS_001","mentions_actor","mentions actor","1.0","mexico_legal_provisions","MEX_PROV_CPEUM_ART090_001","Constitución Política de los Estados Unidos Mexicanos","Art. 90","","","","","","","Ejecutivo Federal; Congreso de la Unión"
"E_e733f0a1","MEX_PROV_CPEUM_ART090_001","MEX_ACTOR_CONGRESS_001","grants_power_to","grants power to","2.0","mexico_legal_provisions","MEX_PROV_CPEUM_ART090_001","Constitución Política de los Estados Unidos Mexicanos","Art. 90","","","","","","","Congressional power to issue organic law distributing federal administrative business among Secretarías de Estado"
"E_d24a5e42","MEX_PROV_CPEUM_ART124_001","MEX_ACTOR_STATES_001","mentions_actor","mentions actor","1.0","mexico_legal_provisions","MEX_PROV_CPEUM_ART124_001","Constitución Política de los Estados Unidos Mexicanos","Art. 124","","","","","","","entidades federativas"
"E_0454c39a","MEX_PROV_CPEUM_ART124_001","MEX_ACTOR_STATES_001","grants_power_to","grants power to","2.0","mexico_legal_provisions","MEX_PROV_CPEUM_ART124_001","Constitución Política de los Estados Unidos Mexicanos","Art. 124","","","","","","","Reserved powers to states for all matters not expressly granted to federal authorities"
