"node_id","node_type","layer","label","degree","weighted_degree","in_degree","out_degree","betweenness_centrality","eigenvector_centrality","component_id"
"MEX_ACTOR_SS_001","actor","institutional_actor_layer","Secretaría de Salud","59","90.5","55","4","0.001222","0.00556","0"
"MEX_ACTOR_CSG_001","actor","institutional_actor_layer","Consejo de Salubridad General","4","7.5","2","2","2.5e-05","0.000237","0"
"MEX_ACTOR_DGE_001","actor","institutional_actor_layer","Dirección General de Epidemiología","5","8.0","4","1","0.0","0.000405","0"
"MEX_ACTOR_COFEPRIS_001","actor","institutional_actor_layer","Comisión Federal para la Protección contra Riesgos Sanitarios (COFEPRIS)","1","2.0","0","1","0.0","1e-06","0"
"MEX_ACTOR_CENAPRECE_001","actor","institutional_actor_layer","Centro Nacional de Programas Preventivos y Control de Enfermedades (CENAPRECE)","1","2.0","0","1","0.0","1e-06","0"
"MEX_ACTOR_SRE_001","actor","institutional_actor_layer","Secretaría de Relaciones Exteriores","3","5.5","1","2","6e-06","0.000102","0"
"MEX_ACTOR_SEGOB_001","actor","institutional_actor_layer","Secretaría de Gobernación","1","2.0","0","1","0.0","1e-06","0"
"MEX_ACTOR_INM_001","actor","institutional_actor_layer","Instituto Nacional de Migración","1","2.0","0","1","0.0","1e-06","0"
"MEX_ACTOR_PORTS_AIRPORTS_001","actor","institutional_actor_layer","Autoridades portuarias y aeroportuarias (puntos de entrada)","1","2.0","0","1","0.0","1e-06","0"
"MEX_ACTOR_STATES_001","actor","institutional_actor_layer","Entidades federativas (gobiernos estatales — 32 entidades)","3","6.0","1","2","6e-06","0.000136","0"
"MEX_ACTOR_CONGRESS_001","actor","institutional_actor_layer","Congreso de la Unión","7","11.5","6","1","2.5e-05","0.000641","0"
"MEX_ACTOR_CHAMBER_DEPUTIES_001","actor","institutional_actor_layer","Cámara de Diputados","2","3.5","1","1","6e-06","0.000102","0"
"MEX_ACTOR_SENATE_001","actor","institutional_actor_layer","Senado de la República","1","2.0","0","1","0.0","1e-06","0"
"MEX_ACTOR_ASF_001","actor","institutional_actor_layer","Auditoría Superior de la Federación","2","4.0","0","2","0.0","1e-06","0"
"MEX_ACTOR_CNDH_001","actor","institutional_actor_layer","Comisión Nacional de los Derechos Humanos (CNDH)","1","2.0","0","1","0.0","1e-06","0"
